id,mean_rating,number_of_ratings,title,movieId,War,Fantasy,Adventure,Horror,Documentary,Mystery,Drama,Children,Romance,IMAX,Comedy,Western,Animation,No_genre,Crime,Musical,Thriller,Sci_Fi,Action,Film_Noir
0,4.031706713,4037,Persuasion (1995),28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,3.683937824,193,Lamerica (1994),53,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.354105139,1693,Fair Game (1995),71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3.583684951,711,Once Upon a Time... When We Were Colored (1995),83,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,3.069736563,28242,Broken Arrow (1996),95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5,3.775593164,6027,Bottle Rocket (1996),101,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
6,2.412206002,2466,Mr. Wrong (1996),102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,3.336849793,12323,"Bridges of Madison County, The (1995)",105,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,3.631329114,316,Margaret's Museum (1995),114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.530413625,411,"Star Maker, The (Uomo delle stelle, L') (1995)",124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.992872807,8208,Down Periscope (1996),135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,3.511482619,28652,"Birdcage, The (1996)",141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,2.802083333,48,Shadows (Cienie) (1988),142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.559219613,5792,"Basketball Diaries, The (1995)",147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3.87057235,66655,Apollo 13 (1995),150,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,3.400660264,1666,Beyond Rangoon (1995),155,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3.486404126,2133,Blue in the Face (1995),156,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2.600590157,18978,Congo (1995),160,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
18,3.438712499,19433,Desperado (1995),163,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
19,3.583945732,1769,Jeffrey (1995),171,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,2.737319975,1597,Mad Love (1995),179,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,3.42899061,852,Mute Witness (1994),183,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,2.243352424,9778,Showgirls (1995),193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3.176070175,7125,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,4.002986858,2511,Burnt by the Sun (Utomlyonnye solntsem) (1994),213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4.044479746,1259,Before the Rain (Pred dozhdot) (1994),214,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.640127389,628,Destiny Turns on the Radio (1995),228,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,3.316794136,15690,French Kiss (1995),236,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
28,2.531553398,618,Gordy (1995),243,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,3.709830456,6429,Murder in the First (1995),280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
30,3.647407105,4898,Nobody's Fool (1994),281,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
31,2.965909091,44,New York Cop (Nyû Yôku no koppu) (1993),284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,2.383333333,120,Beyond Bedlam (1993),285,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
